2014-03-03,Rangers,• Derek Holland,placed on 60-day DL recovering from surgery on left knee
2014-03-07,Padres,• Cory Luebke,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-03-15,Dodgers,• Onelki Garcia,placed on 60-day DL recovering from surgery on left elbow
2014-03-20,Athletics,• Jarrod Parker (Brent),"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-26,Braves,• Kris Medlen,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-26,Rangers,• Engel Beltre,placed on 60-day DL with fractured right tibia
2014-03-26,Nationals,• Ross Ohlendorf,transferred to 60-day DL with sprained right lumbar
2014-03-29,Braves,• Brandon Beachy,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-29,Braves,• Jonny Venters,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-03-29,Phillies,• Miguel Alfredo Gonzalez / Miguel Gonzalez (Alfredo),transferred to 60-day DL with sore right shoulder
2014-03-29,Tigers,• Bruce Rondon,placed on 60-day DL with surgery on right elbow
2014-03-29,Tigers,• Jose Iglesias,placed on 60-day DL with stress fracture in both shins
2014-03-30,Cubs,• James McDonald (a),placed on 60-day DL with right shoulder inflammation
2014-03-30,Mets,• Matt Harvey,"placed on 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-03-30,Orioles,• Edgmer Escalona,placed on 60-day DL with right shoulder inflammation/impingement
2014-03-30,Rangers,• Geovany Soto,placed on 60-day DL recovering from surgery on right knee
2014-03-30,Reds,• Brett Marshall,placed on 60-day DL with strained tendon in right middle finger
2014-03-30,Reds,• Jack Hannahan,placed on 60-day DL recovering from surgery on right shoulder
2014-04-02,Braves,• Cory Gearrin,transferred to 60-day DL with sprained right elbow
2014-04-02,Padres,• Joe Wieland,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-04-04,Diamondbacks,• Patrick Corbin,"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on left elbow"
2014-04-07,Orioles,• Nolan Reimold,transferred to 60-day DL recovering from cervical spine fusion surgery
2014-04-07,Red Sox,• Steven Wright,transferred to 60-day DL recovering from surgery to repair sports hernia
2014-04-12,Rangers,• Jurickson Profar,transferred to 60-day DL with torn muscle in right shoulder
2014-04-12,Nationals,• Jeff Kobernus (Gilbert),placed on 60-day DL with fractured left hand
2014-04-13,Angels,• Brian Moran,transferred to 60-day DL with surgery on left elbow
2014-04-14,Diamondbacks,• David Hernandez (Jose),"transferred to 60-day DL recovering from ligament replacement (""Tommy John"") surgery on right elbow"
2014-04-15,Yankees,• Francisco Cervelli,transferred to 60-day DL with strained right hamstring
2014-04-16,Angels,• Ryan Brasier,transferred to 60-day DL with strained right elbow
2014-04-18,Blue Jays,• Maicer Izturis,transferred to 60-day DL with surgery on left knee to repair torn ligament
2014-04-21,Tigers,• Andy Dirks,transferred to 60-day DL recovering from surgery on back
2014-04-24,Yankees,• Ivan Nova,transferred to 60-day DL with surgery to repair torn ulnar collateral ligament in right elbow
2014-04-25,Padres,• Josh Johnson (Michael),transferred to 60-day DL with strained flexor in right forearm
2014-04-25,Rockies,• Brett Anderson (Franklin),transferred to 60-day DL with fractured left index finger
2014-04-27,White Sox,• Avisail Garcia,transferred to 60-day DL with surgery on left shoulder to repair torn labrum
